objectid;usoagregad;grupo;area;ruleid;ano;ruleid_1;shape_Length;shape_Area
1;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,18856E+11;1;2018;1;3,37744E+14;8,18857E+14
2;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,3571E+11;1;2018;1;1,59079E+14;1,3571E+14
3;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;9,01804E+12;1;2018;1;1,71645E+14;9,01804E+14
4;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,63921E+12;1;2018;1;7,33209E+14;3,63921E+14
5;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;19094866474;1;2018;1;1,76367E+14;1,90949E+14
6;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,9896E+11;1;2018;1;3,35499E+14;5,9896E+14
7;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,61428E+12;1;2018;1;1,05233E+14;1,61428E+14
8;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,0889E+13;1;2018;1;8,07447E+14;2,0889E+14
9;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,94437E+11;1;2018;1;3,21094E+14;5,94438E+14
10;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,14952E+11;1;2018;1;2,25679E+14;1,14952E+14
11;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,29841E+11;1;2018;1;2,78587E+13;3,29841E+14
12;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,16462E+13;1;2018;1;4,08704E+14;3,16462E+14
13;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,39089E+11;1;2018;1;3,94074E+13;4,39089E+14
14;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,59653E+11;1;2018;1;2,1527E+14;1,59652E+14
15;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,92369E+11;1;2018;1;4,41575E+14;8,92369E+14
16;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,13037E+11;1;2018;1;4,022E+14;4,13038E+14
17;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,2238E+11;1;2018;1;2,10202E+14;2,2238E+14
18;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,46176E+12;1;2018;1;1,06484E+14;1,46176E+14
19;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,79619E+11;1;2018;1;4,98839E+14;5,79618E+14
20;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,64859E+11;1;2018;1;1,5622E+14;1,64859E+14
21;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,79888E+11;1;2018;1;5,12616E+14;8,79888E+14
22;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,92118E+11;1;2018;1;1,74933E+14;1,92118E+14
23;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,56102E+12;1;2018;1;8,98984E+14;1,56102E+14
24;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,26936E+12;1;2018;1;2,90944E+14;4,26935E+14
25;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,37391E+12;1;2018;1;4,97768E+14;1,37391E+14
26;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,07527E+11;1;2018;1;2,07439E+14;2,07527E+14
27;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,46149E+11;1;2018;1;7,33463E+14;3,46149E+14
28;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,03785E+13;1;2018;1;3,79134E+14;1,03785E+14
29;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,01135E+11;1;2018;1;4,01099E+14;3,01135E+14
30;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,9313E+11;1;2018;1;2,67963E+14;3,9313E+14
31;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;66093803971;1;2018;1;4,61605E+14;6,60938E+14
32;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,33942E+12;1;2018;1;5,95359E+13;1,33942E+14
33;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,80703E+11;1;2018;1;1,73716E+14;1,80704E+14
34;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,61372E+11;1;2018;1;3,78733E+14;6,61372E+14
35;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,35685E+11;1;2018;1;4,25881E+14;5,35685E+14
36;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,10423E+11;1;2018;1;3,30353E+14;5,10424E+14
37;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,46912E+12;1;2018;1;1,01911E+14;1,46912E+14
38;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,21713E+11;1;2018;1;3,5224E+14;4,21712E+14
39;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,82043E+11;1;2018;1;2,88304E+14;3,82043E+13
40;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,21797E+12;1;2018;1;5,93959E+14;1,21797E+14
